Unnamed: 0,timestamp,day_of_week,hour_of_day,is_weekend,temperature,is_holiday,solar_generation,load,compensation_method
0,01-01-2023 00:00,6,0,1,17.48357077,0,7.819507374,18493,Normal Operation
1,01-01-2023 01:00,6,1,1,14.30867849,0,0.886375699,17090,Normal Operation
2,01-01-2023 02:00,6,2,1,18.23844269,0,0.798469676,16052,Normal Operation
3,01-01-2023 03:00,6,3,1,22.61514928,0,3.067700357,15356,Normal Operation
4,01-01-2023 04:00,6,4,1,13.82923313,0,0.359478812,14936,Normal Operation
5,01-01-2023 05:00,6,5,1,13.82931522,0,5.004297365,14884,Normal Operation
6,01-01-2023 06:00,6,6,1,22.89606408,0,269.9641922,15314,Increased Renewable Energy Integration
7,01-01-2023 07:00,6,7,1,18.83717365,0,286.0377273,16591,Increased Renewable Energy Integration
8,01-01-2023 08:00,6,8,1,12.65262807,0,64.65474265,18271,Normal Operation
9,01-01-2023 09:00,6,9,1,17.71280022,0,234.9771779,19470,Increased Renewable Energy Integration
10,01-01-2023 10:00,6,10,1,12.68291154,0,231.6258649,20364,Increased Renewable Energy Integration
11,01-01-2023 11:00,6,11,1,12.67135123,0,286.7774035,21181,Increased Renewable Energy Integration
12,01-01-2023 12:00,6,12,1,16.20981136,0,113.2286486,21714,Normal Operation
13,01-01-2023 13:00,6,13,1,5.433598777,0,235.5447596,22057,Increased Renewable Energy Integration
14,01-01-2023 14:00,6,14,1,6.375410837,0,63.65657219,22313,Normal Operation
15,01-01-2023 15:00,6,15,1,12.18856235,0,207.8114302,22337,Increased Renewable Energy Integration
16,01-01-2023 16:00,6,16,1,9.935844398,0,137.711956,22136,Normal Operation
17,01-01-2023 17:00,6,17,1,16.57123666,0,242.2273599,21972,Increased Renewable Energy Integration
18,01-01-2023 18:00,6,18,1,10.45987962,0,265.8260716,21717,Increased Renewable Energy Integration
19,01-01-2023 19:00,6,19,1,7.938481493,0,1.097792415,21071,Peak Load Shifting
20,01-01-2023 20:00,6,20,1,22.32824384,0,8.125627104,20473,Peak Load Shifting
21,01-01-2023 21:00,6,21,1,13.8711185,0,2.329512616,20195,Peak Load Shifting
22,01-01-2023 22:00,6,22,1,15.33764102,0,3.555650602,19896,Peak Load Shifting
23,01-01-2023 23:00,6,23,1,7.876259069,0,1.452973537,18717,Normal Operation
24,02-01-2023 00:00,0,0,0,12.27808638,0,1.951519686,17352,Normal Operation
25,02-01-2023 01:00,0,1,0,15.55461295,0,7.754172354,16108,Normal Operation
26,02-01-2023 02:00,0,2,0,9.245032113,0,2.618596195,15179,Normal Operation
27,02-01-2023 03:00,0,3,0,16.87849009,0,4.490349663,14519,Normal Operation
28,02-01-2023 04:00,0,4,0,11.99680655,0,1.516713731,14107,Normal Operation
29,02-01-2023 05:00,0,5,0,13.54153125,0,6.779299063,13947,Normal Operation
30,02-01-2023 06:00,0,6,0,11.99146694,0,248.309925,13996,Increased Renewable Energy Integration
31,02-01-2023 07:00,0,7,0,24.26139092,0,94.03528347,14541,Normal Operation
32,02-01-2023 08:00,0,8,0,14.93251388,0,254.3578523,15620,Increased Renewable Energy Integration
33,02-01-2023 09:00,0,9,0,9.711445355,0,119.1412031,16746,Normal Operation
34,02-01-2023 10:00,0,10,0,19.11272456,0,280.5995069,17752,Increased Renewable Energy Integration
35,02-01-2023 11:00,0,11,0,8.89578175,0,227.2716704,18535,Increased Renewable Energy Integration
36,02-01-2023 12:00,0,12,0,16.04431798,0,246.3168903,19062,Increased Renewable Energy Integration
37,02-01-2023 13:00,0,13,0,5.201649381,0,71.25811338,19430,Normal Operation
38,02-01-2023 14:00,0,14,0,8.359069756,0,195.6912784,19745,Normal Operation
39,02-01-2023 15:00,0,15,0,15.98430618,0,255.2855317,20061,Increased Renewable Energy Integration
40,02-01-2023 16:00,0,16,0,18.6923329,0,265.3975882,20435,Increased Renewable Energy Integration
41,02-01-2023 17:00,0,17,0,15.85684141,0,57.15792618,20675,Normal Operation
42,02-01-2023 18:00,0,18,0,14.42175859,0,284.7898081,20585,Increased Renewable Energy Integration
43,02-01-2023 19:00,0,19,0,13.49448152,0,4.139907467,20138,Peak Load Shifting
44,02-01-2023 20:00,0,20,0,7.607390048,0,9.037242258,19525,Peak Load Shifting
45,02-01-2023 21:00,0,21,0,11.40077896,0,1.956157715,19172,Peak Load Shifting
46,02-01-2023 22:00,0,22,0,12.69680615,0,9.717589759,19034,Peak Load Shifting
47,02-01-2023 23:00,0,23,0,20.28561113,0,8.101532099,18112,Normal Operation
48,03-01-2023 00:00,1,0,0,16.71809145,0,8.814713899,16956,Normal Operation
49,03-01-2023 01:00,1,1,0,6.184799223,0,9.294439897,15872,Normal Operation
50,03-01-2023 02:00,1,2,0,16.62041985,0,7.532411971,15036,Normal Operation
51,03-01-2023 03:00,1,3,0,13.0745886,0,7.887798316,14479,Normal Operation
52,03-01-2023 04:00,1,4,0,11.61539,0,4.378182966,14118,Normal Operation
53,03-01-2023 05:00,1,5,0,18.05838144,0,5.104502347,13930,Normal Operation
54,03-01-2023 06:00,1,6,0,20.15499761,0,90.30920211,13891,Normal Operation
55,03-01-2023 07:00,1,7,0,19.6564006,0,53.80561787,14069,Normal Operation
56,03-01-2023 08:00,1,8,0,10.80391238,0,225.2006203,14758,Increased Renewable Energy Integration
57,03-01-2023 09:00,1,9,0,13.45393812,0,187.5349187,15804,Normal Operation
58,03-01-2023 10:00,1,10,0,16.65631716,0,212.6992854,16822,Increased Renewable Energy Integration
59,03-01-2023 11:00,1,11,0,19.87772564,0,253.2961675,17572,Increased Renewable Energy Integration
60,03-01-2023 12:00,1,12,0,12.60412881,0,158.5569442,17963,Normal Operation
61,03-01-2023 13:00,1,13,0,14.07170512,0,81.12886721,18211,Normal Operation
62,03-01-2023 14:00,1,14,0,9.46832513,0,284.9958213,18192,Increased Renewable Energy Integration
63,03-01-2023 15:00,1,15,0,9.01896688,0,186.3155318,18058,Normal Operation
64,03-01-2023 16:00,1,16,0,19.06262911,0,203.8235298,17974,Increased Renewable Energy Integration
65,03-01-2023 17:00,1,17,0,21.78120014,0,283.3528574,18087,Increased Renewable Energy Integration
66,03-01-2023 18:00,1,18,0,14.63994939,0,282.8959141,18168,Increased Renewable Energy Integration
67,03-01-2023 19:00,1,19,0,20.01766449,0,0.250973555,17927,Peak Load Shifting
68,03-01-2023 20:00,1,20,0,16.80818013,0,2.3505943,17503,Peak Load Shifting
69,03-01-2023 21:00,1,21,0,11.77440123,0,3.330445409,17246,Peak Load Shifting
70,03-01-2023 22:00,1,22,0,16.80697803,0,6.265287718,17159,Peak Load Shifting
71,03-01-2023 23:00,1,23,0,22.69018283,0,1.317245974,16777,Normal Operation
72,04-01-2023 00:00,2,0,0,14.8208698,0,4.373299336,16141,Normal Operation
73,04-01-2023 01:00,2,1,0,22.82321828,0,2.042636021,15281,Normal Operation
74,04-01-2023 02:00,2,2,0,1.90127448,0,8.553033215,14584,Normal Operation
75,04-01-2023 03:00,2,3,0,19.10951252,0,0.44966508,14057,Normal Operation
76,04-01-2023 04:00,2,4,0,15.43523534,0,3.559377267,13744,Normal Operation
77,04-01-2023 05:00,2,5,0,13.50496325,0,6.3137408,13582,Normal Operation
78,04-01-2023 06:00,2,6,0,15.45880388,0,256.0830844,13440,Increased Renewable Energy Integration
79,04-01-2023 07:00,2,7,0,5.062155427,0,230.5471531,13566,Increased Renewable Energy Integration
80,04-01-2023 08:00,2,8,0,13.90164056,0,263.7194292,14354,Increased Renewable Energy Integration
81,04-01-2023 09:00,2,9,0,16.78556286,0,146.8073949,15567,Normal Operation
82,04-01-2023 10:00,2,10,0,22.38947022,0,78.66580154,16691,Normal Operation
83,04-01-2023 11:00,2,11,0,12.40864891,0,260.6135511,17785,Increased Renewable Energy Integration
84,04-01-2023 12:00,2,12,0,10.95753199,0,174.5421039,18706,Normal Operation
85,04-01-2023 13:00,2,13,0,12.49121478,0,81.84400813,19403,Normal Operation
86,04-01-2023 14:00,2,14,0,19.57701059,0,78.82813055,19949,Normal Operation
87,04-01-2023 15:00,2,15,0,16.64375555,0,89.8105985,20348,Normal Operation
88,04-01-2023 16:00,2,16,0,12.35119898,0,237.7433149,20764,Increased Renewable Energy Integration
89,04-01-2023 17:00,2,17,0,17.56633717,0,227.7141684,21148,Increased Renewable Energy Integration
90,04-01-2023 18:00,2,18,0,15.48538775,0,100.95467,21343,Peak Load Shifting
