timestamp,day_of_week,hour_of_day,is_weekend,temperature,is_holiday,solar_generation,electricity_demand
2024-01-01 00:00:00,0,0,0,28.53424919699969,0,0.7862489773369186,633.1099436262518
2024-01-01 01:00:00,0,1,0,18.140663543922297,0,7.3314765984347465,537.3568038084514
2024-01-01 02:00:00,0,2,0,19.539847232382716,0,9.877753125953438,562.0697860695477
2024-01-01 03:00:00,0,3,0,17.51912876911197,0,1.2151030298401388,483.2688755109331
2024-01-01 04:00:00,0,4,0,18.255589739716342,0,2.476539267632213,579.3013662655821
2024-01-01 05:00:00,0,5,0,13.403409777034835,0,7.073823959244461,509.229476614285
2024-01-01 06:00:00,0,6,0,10.759615082981842,0,220.67333920462426,508.55960421673296
2024-01-01 07:00:00,0,7,0,18.02982674747467,0,268.7822983573924,396.8264787442079
2024-01-01 08:00:00,0,8,0,4.9091587798130405,0,245.8301899137856,442.48265098556135
2024-01-01 09:00:00,0,9,0,18.700610285280533,0,258.03991802657174,399.1800885206375
2024-01-01 10:00:00,0,10,0,17.6440674704468,0,247.40765603917166,404.26158471721544
2024-01-01 11:00:00,0,11,0,12.054997333567087,0,251.49274410972401,421.8971883396374
2024-01-01 12:00:00,0,12,0,15.94347654724612,0,298.2029888125004,339.5223077882735
2024-01-01 13:00:00,0,13,0,11.205639718947669,0,75.21192904044159,435.3257486751287
2024-01-01 14:00:00,0,14,0,10.333813918495405,0,209.64501605567398,381.0855900606322
2024-01-01 15:00:00,0,15,0,19.77528254631868,0,78.36937470823892,549.8697947586651
2024-01-01 16:00:00,0,16,0,15.953971611858577,0,195.384118968377,488.5317828442672
2024-01-01 17:00:00,0,17,0,24.89378662056414,0,206.60930974019544,476.12863249819736
2024-01-01 18:00:00,0,18,0,28.029836398956398,0,61.06256486125218,570.6825428560587
2024-01-01 19:00:00,0,19,0,18.417544427694573,0,3.6195759384288073,712.0729308150544
2024-01-01 20:00:00,0,20,0,16.51332724292591,0,9.584411678610017,695.0200647933864
